Sentence #,Word,POS,Tag
,Vienna,NNP,geo
,Wednesday,NNP,tim
,on,IN,O
,how,WRB,O
,to,TO,O
,respond,VB,O
,to,TO,O
,Iran,NNP,gpe
,'s,POS,O
,resumption,NN,O
,of,IN,O
,low-level,JJ,O
,uranium,NN,O
,conversion,NN,O
,.,.,O
9,Iran,NNP,gpe
,this,DT,O
,week,NN,O
,restarted,VBD,O
,parts,NNS,O
,of,IN,O
,the,DT,O
,conversion,NN,O
,process,NN,O
,at,IN,O
,its,PRP$,O
,Isfahan,NNP,geo
,nuclear,JJ,O
,plant,NN,O
,.,.,O
10,Iranian,JJ,gpe
,officials,NNS,O
,say,VBP,O
,they,PRP,O
,expect,VBP,O
,to,TO,O
,get,VB,O
,access,NN,O
,to,TO,O
,sealed,JJ,O
,sensitive,JJ,O
,parts,NNS,O
,of,IN,O
,the,DT,O
,plant,NN,O
,Wednesday,NNP,tim
,",",",",O
,after,IN,O
,an,DT,O
,IAEA,NNP,org
,surveillance,NN,O
,system,NN,O
,begins,VBZ,O
,functioning,VBG,O
,.,.,O
11,The,DT,O
,step,NN,O
,will,MD,O
,allow,VB,O
,the,DT,O
,facility,NN,O
,to,TO,O
,operate,VB,O
,at,IN,O
,full,JJ,O
,capacity,NN,O
,.,.,O
12,The,DT,O
,European,NNP,org
,Union,NNP,org
,",",",",O
,with,IN,O
,U.S.,NNP,gpe
,backing,NN,O
,",",",",O
,has,VBZ,O
,threatened,VBN,O
,to,TO,O
,refer,VB,O
,Iran,NNP,gpe
,to,TO,O
,the,DT,O
,U.N.,NNP,org
,Security,NNP,org
,Council,NNP,org
,",",",",O
,which,WDT,O
,could,MD,O
,impose,VB,O
,sanctions,NNS,O
,if,IN,O
,it,PRP,O
,finds,VBZ,O
,Tehran,NNP,gpe
,has,VBZ,O
,violated,VBN,O
,the,DT,O
,Nuclear,NNP,art
,Non-Proliferation,NNP,art
,treaty,NN,O
,.,.,O
13,Iran,NNP,gpe
,'s,POS,O
,new,JJ,O
,President,NNP,per
,Mahmoud,NNP,per
,Ahmadinejad,NNP,per
,said,VBD,O
,Tuesday,NNP,tim
,that,IN,O
,European,JJ,gpe
,incentives,NNS,O
,aimed,VBN,O
,at,IN,O
,persuading,VBG,O
,Iran,NNP,gpe
,to,TO,O
,end,VB,O
,its,PRP$,O
,nuclear,JJ,O
,fuel,NN,O
,program,NN,O
,are,VBP,O
,an,DT,O
,insult,NN,O
,to,TO,O
,the,DT,O
,Iranian,JJ,gpe
,nation,NN,O
,.,.,O
14,Two,CD,O
,Germans,NNS,gpe
,and,CC,O
,four,CD,O
,Nigerian,JJ,gpe
,oil,NN,O
,workers,NNS,O
,were,VBD,O
,kidnapped,VBN,O
,by,IN,O
,armed,JJ,O
,militants,NNS,O
,during,IN,O
,a,DT,O
,raid,NN,O
,on,IN,O
,a,DT,O
,boat,NN,O
,in,IN,O
,Nigeria,NNP,geo
,'s,POS,O
,southern,JJ,O
,oil-rich,JJ,O
,Delta,NNP,geo
,region,NN,O
,.,.,O
15,An,DT,O
,official,NN,O
,with,IN,O
,the,DT,O
,German,JJ,gpe
,firm,NN,O
,Bilfinger,NNP,org
,Berger,NNP,org
,",",",",O
,Thomas,NNP,per
,Horbach,NNP,per
,",",",",O
,said,VBD,O
,the,DT,O
,gunmen,NNS,O
,stopped,VBD,O
,the,DT,O
,supply,NN,O
,boat,NN,O
,Wednesday,NNP,tim
,as,IN,O
,it,PRP,O
,sailed,VBD,O
,from,IN,O
,Delta,NNP,geo
,State,NNP,geo
,to,TO,O
,Bayelsa,NNP,geo
,State,NNP,geo
,to,TO,O
,inspect,VB,O
,an,DT,O
,offshore,JJ,O
,oil,NN,O
,field,NN,O
,owned,VBN,O
,by,IN,O
,Royal-Dutch,NNP,org
,Shell,NNP,org
,.,.,O
16,The,DT,O
,German,JJ,gpe
,firm,NN,O
,works,VBZ,O
,as,IN,O
,a,DT,O
,sub-contractor,NN,O
,for,IN,O
,Shell,NNP,org
,.,.,O
17,Militant,JJ,O
,groups,NNS,O
,frequently,RB,O
,attack,VBP,O
,oil,NN,O
,operations,NNS,O
,in,IN,O
,the,DT,O
,Niger,NNP,geo
,Delta,NNP,geo
,to,TO,O
,demand,VB,O
,social,JJ,O
,services,NNS,O
,and,CC,O
,better,JJR,O
,job,NN,O
,opportunities,NNS,O
,from,IN,O
,multinational,JJ,O
,companies,NNS,O
,.,.,O
18,Poor,JJ,O
,residents,NNS,O
,often,RB,O
,complain,VBP,O
,they,PRP,O
,have,VBP,O
,been,VBN,O
,cheated,VBN,O
,out,IN,O
,of,IN,O
,the,DT,O
,huge,JJ,O
,riches,NNS,O
,extracted,VBN,O
,from,IN,O
,their,PRP$,O
,tribal,JJ,O
,lands,NNS,O
,-,:,O
,where,WRB,O
,the,DT,O
,bulk,NN,O
,of,IN,O
,Nigeria,NNP,gpe
,'s,POS,O
,2.3,CD,O
,million,CD,O
,barrels,NNS,O
,of,IN,O
,petroleum,NN,O
,are,VBP,O
,pumped,VBN,O
,daily,RB,O
,.,.,O
19,Suspected,JJ,O
,Islamist,JJ,O
,rebels,NNS,O
,have,VBP,O
,fired,VBN,O
,mortar,NN,O
,shells,NNS,O
,at,IN,O
,the,DT,O
,palace,NN,O
,used,VBN,O
,by,IN,O
,Somalia,NNP,geo
,'s,POS,O
,interim,JJ,O
,President,NNP,per
,Abdullahi,NNP,per
,Yusuf,NNP,per
,Ahmad,NNP,per
,.,.,O
20,It,PRP,O
,was,VBD,O
,not,RB,O
,immediately,RB,O
,clear,JJ,O
,if,IN,O
,the,DT,O
,president,NN,O
,was,VBD,O
,in,IN,O
,the,DT,O
,palace,NN,O
,in,IN,O
,Mogadishu,NNP,geo
,when,WRB,O
,the,DT,O
,attack,NN,O
,occurred,VBD,O
,or,CC,O
,if,IN,O
,anyone,DT,O
,was,VBD,O
,hurt,VBN,O
,.,.,O
21,Local,JJ,O
,news,NN,O
,reports,NNS,O
,said,VBD,O
,at,IN,O
,least,JJS,O
,five,CD,O
,mortar,NN,O
,shells,NNS,O
,hit,VBD,O
,the,DT,O
,palace,NN,O
,compound,NN,O
,and,CC,O
,other,JJ,O
,mortars,NNS,O
,were,VBD,O
,fired,VBN,O
,elsewhere,RB,O
,in,IN,O
,Mogadishu,NNP,geo
,Wednesday,NNP,tim
,.,.,O
22,The,DT,O
,attacks,NNS,O
,occurred,VBD,O
,after,IN,O
,the,DT,O
,government,NN,O
,said,VBD,O
,it,PRP,O
,will,MD,O
,go,VB,O
,ahead,RB,O
,with,IN,O
,a,DT,O
,reconciliation,NN,O
,conference,NN,O
,to,TO,O
,which,WDT,O
,more,JJR,O
,than,IN,O
,"1,300",CD,O
,Somali,JJ,gpe
,elders,NNS,O
,",",",",O
,warlords,NNS,O
,and,CC,O
,politicians,NNS,O
,are,VBP,O
,invited,VBN,O
,.,.,O
23,Iraqi,JJ,gpe
,military,JJ,O
,officials,NNS,O
,say,VBP,O
,tanks,NNS,O
,and,CC,O
,troops,NNS,O
,have,VBP,O
,arrived,VBN,O
,in,IN,O
,the,DT,O
,northern,JJ,O
,city,NN,O
,Mosul,NNP,geo
,for,IN,O
,a,DT,O
,new,JJ,O
,offensive,NN,O
,against,IN,O
,al,NNP,org
,Qaida,NNP,org
,in,IN,org
,Iraq,NNP,org
,fighters,NNS,O
,.,.,O
24,Officials,NNS,O
,will,MD,O
,not,RB,O
,say,VB,O
,how,WRB,O
,many,JJ,O
,troops,NNS,O
,have,VBP,O
,arrived,VBN,O
,in,IN,O
,the,DT,O
,Sunni,NNP,geo
,Arab,NNP,geo
,and,CC,O
,Kurdish,NNP,geo
,city,NN,O
,",",",",O
,where,WRB,O
,bombings,NNS,O
,last,JJ,O
,week,NN,O
,killed,VBD,O
,at,IN,O
,least,JJS,O
,34,CD,O
,people,NNS,O
,and,CC,O
,wounded,VBD,O
,more,JJR,O
,than,IN,O
,200,CD,O
,.,.,O
25,U.S.,NNP,gpe
,commanders,NNS,O
,have,VBP,O
,not,RB,O
,explained,VBN,O
,how,WRB,O
,American,JJ,gpe
,forces,NNS,O
,will,MD,O
,participate,VB,O
,in,IN,O
,the,DT,O
,offensive,NN,O
,.,.,O
26,Officials,NNS,O
,say,VBP,O
,al,NNP,org
,Qaida,NNP,org
,in,IN,org
,Iraq,NNP,org
,fighters,NNS,O
,have,VBP,O
,fled,VBN,O
,successful,JJ,O
,campaigns,NNS,O
,against,IN,O
,them,PRP,O
,in,IN,O
,Anbar,NNP,geo
,province,NN,O
,and,CC,O
,Baghdad,NNP,geo
,to,TO,O
,other,JJ,O
,northern,JJ,O
,provinces,NNS,O
,.,.,O
27,Mosul,NNP,geo
,is,VBZ,O
,the,DT,O
,largest,JJS,O
,city,NN,O
,north,NN,O
,of,IN,O
,Baghdad,NNP,geo
,and,CC,O
,has,VBZ,O
,long,RB,O
,been,VBN,O
,a,DT,O
,stronghold,NN,O
,of,IN,O
,Sunni,NNP,org
,militant,JJ,O
,fighters,NNS,O
,.,.,O
28,In,IN,O
,other,JJ,O
,violence,NN,O
,",",",",O
,U.S.,NNP,gpe
,officials,NNS,O
,said,VBD,O
,one,CD,O
,American,JJ,gpe
,soldier,NN,O
,was,VBD,O
,killed,VBN,O
,while,IN,O
,on,IN,O
,patrol,NN,O
,in,IN,O
,Baghdad,NNP,geo
,Sunday,NNP,tim
,.,.,O
29,Egyptian,JJ,gpe
,police,NNS,O
,have,VBP,O
,arrested,VBN,O
,at,IN,O
,least,JJS,O
,16,CD,O
,members,NNS,O
,of,IN,O
,the,DT,O
,opposition,NN,O
,Muslim,NNP,org
,Brotherhood,NNP,org
,as,IN,O
,parts,NNS,O
,of,IN,O
,the,DT,O
,country,NN,O
,prepare,VB,O
,for,IN,O
,parliamentary,JJ,O
,runoff,NN,O
,elections,NNS,O
,Saturday,NNP,tim
,.,.,O
30,The,DT,O
,arrests,NNS,O
,occurred,VBD,O
,Friday,NNP,tim
,in,IN,O
,Alexandria,NNP,geo
,.,.,O
31,A,DT,O
,spokesman,NN,O
,for,IN,O
,the,DT,O
,Brotherhood,NNP,org
,said,VBD,O
,the,DT,O
,arrests,NNS,O
,are,VBP,O
,an,DT,O
,attempt,NN,O
,to,TO,O
,cut,VB,O
,the,DT,O
,Brotherhood,NNP,org
,off,RB,O
,from,IN,O
,its,PRP$,O
,supporters,NNS,O
,and,CC,O
,punishment,NN,O
,for,IN,O
,winning,VBG,O
,parliamentary,JJ,O
,seats,NNS,O
,in,IN,O
,earlier,JJR,O
,elections,NNS,O
,.,.,O
32,The,DT,O
,Muslim,NNP,org
,Brotherhood,NNP,org
,has,VBZ,O
,tripled,VBN,O
,its,PRP$,O
,strength,NN,O
,in,IN,O
,parliament,NN,O
,in,IN,O
,recent,JJ,O
,elections,NNS,O
,",",",",O
,raising,VBG,O
,the,DT,O
,party,NN,O
,'s,POS,O
,total,NN,O
,to,TO,O
,47,CD,O
,seats,NNS,O
,.,.,O
33,In,IN,O
,Saturday,NNP,tim
,'s,POS,O
,elections,NNS,O
,",",",",O
,voters,NNS,O
,will,MD,O
,cast,VB,O
,ballots,NNS,O
,in,IN,O
,nine,CD,O
,provinces,NNS,O
,where,WRB,O
,no,DT,O
,candidate,NN,O
,won,VBD,O
,a,DT,O
,majority,NN,O
,in,IN,O
,the,DT,O
,previous,JJ,O
,round,NN,O
,of,IN,O
,voting,NN,O
,.,.,O
34,The,DT,O
,Muslim,NNP,org
,Brotherhood,NNP,org
,is,VBZ,O
,banned,VBN,O
,as,IN,O
,a,DT,O
,political,JJ,O
,party,NN,O
,",",",",O
,but,CC,O
,it,PRP,O
,endorses,VBZ,O
,so-called,JJ,O
,independent,JJ,O
,candidates,NNS,O
,whose,WP$,O
,allegiance,NN,O
,to,IN,O
,the,DT,O
,party,NN,O
,is,VBZ,O
,known,VBN,O
,to,TO,O
,voters,NNS,O
,.,.,O
35,Hardline,JJ,O
,lawmakers,NNS,O
,in,IN,O
,Pakistan,NNP,geo
,'s,POS,O
,North,NNP,geo
,West,NNP,geo
,Frontier,NNP,geo
,Province,NNP,geo
,have,VBP,O
,pushed,VBN,O
,through,IN,O
,a,DT,O
,law,NN,O
,that,WDT,O
,aims,VBZ,O
,to,TO,O
,ensure,VB,O
,"""",``,O
,Islamic,JJ,O
,correctness,NN,O
,"""",``,O
,in,IN,O
,public,JJ,O
,places,NNS,O
,and,CC,O
,establishes,VBZ,O
,a,DT,O
,morality,NN,O
,police,NN,O
,to,TO,O
,enforce,VB,O
,decent,JJ,O
,behavior,NN,O
,.,.,O
36,A,DT,O
,six-party,JJ,O
,coalition,NN,O
,of,IN,O
,religious,JJ,O
,based,VBN,O
,parties,NNS,O
,",",",",O
,the,DT,O
,Mutahida,NNP,org
,Majlis-e-Amal,NNP,org
,",",",",O
,dominates,VBZ,O
,the,DT,O
,provincial,JJ,O
,assembly,NN,O
,",",",",O
,so,IN,O
,the,DT,O
,bill,NN,O
,was,VBD,O
,easily,RB,O
,passed,VBN,O
,Thursday,NNP,tim
,by,IN,O
,a,DT,O
,vote,NN,O
,of,IN,O
,68-34,CD,O
,.,.,O
37,The,DT,O
,provincial,JJ,O
,governor,NN,O
,must,MD,O
,still,RB,O
,sign,VB,O
,the,DT,O
,bill,NN,O
,before,IN,O
,it,PRP,O
,becomes,VBZ,O
,law,NN,O
,",",",",O
,a,DT,O
,step,NN,O
,seen,VBN,O
,only,RB,O
,as,IN,O
,a,DT,O
,formality,NN,O
,.,.,O
38,The,DT,O
,proposed,JJ,O
,law,NN,O
,calls,VBZ,O
,for,IN,O
,setting,VBG,O
,up,RP,O
,a,DT,O
,"""",``,O
,religious,JJ,O
,police,NN,O
,force,NN,O
,"""",``,O
,to,TO,O
,make,VB,O
,sure,JJ,O
,people,NNS,O
,adhere,VBP,O
,to,TO,O
,Islamic,JJ,O
,values,NNS,O
,in,IN,O
,public,JJ,O
,places,NNS,O
,",",",",O
,and,CC,O
,entertainment,NN,O
,outlets,NNS,O
,close,RB,O
,during,IN,O
,weekly,JJ,O
,Friday,NNP,tim
,prayers,NNS,O
,.,.,O
39,Violators,NNS,O
,could,MD,O
,be,VB,O
,jailed,VBN,O
,for,IN,O
,up,RB,O
,to,TO,O
,six,CD,O
,months,NNS,O
,.,.,O
40,The,DT,O
,opposition,NN,O
,has,VBZ,O
,denounced,VBN,O
,the,DT,O
,measure,NN,O
,",",",",O
,comparing,VBG,O
,it,PRP,O
,to,TO,O
,the,DT,O
,draconian,JJ,O
,rule,NN,O
,of,IN,O
,the,DT,O
,former,JJ,O
,Taleban,NNP,org
,in,IN,O
,neighboring,VBG,O
,Afghanistan,NNP,geo
,.,.,O
41,British,JJ,gpe
,police,NNS,O
,say,VBP,O
,they,PRP,O
,have,VBP,O
,arrested,VBN,O
,a,DT,O
,man,NN,O
,who,WP,O
,dressed,VBD,O
,as,IN,O
,suicide,NN,O
,bomber,NN,O
,at,IN,O
,a,DT,O
,demonstration,NN,O
,against,IN,O
,the,DT,O
,publication,NN,O
,of,IN,O
,cartoons,NNS,O
,depicting,VBG,O
,Islam,NNP,org
,'s,POS,O
,Prophet,NNP,per
,Muhammad,NNP,per
,.,.,O
42,Bedfordshire,NNP,gpe
,police,NNS,O
,said,VBD,O
,Tuesday,NNP,tim
,that,IN,O
,Omar,NNP,per
,Khayam,NNP,per
,was,VBD,O
,arrested,VBN,O
,in,IN,O
,Bedford,NNP,geo
,for,IN,O
,breaching,VBG,O
,the,DT,O
,conditions,NNS,O
,of,IN,O
,his,PRP$,O
,parole,NN,O
,.,.,O
43,Police,NNS,O
,said,VBD,O
,the,DT,O
,British,NNP,org
,Home,NNP,org
,Office,NNP,org
,sought,VBD,O
,an,DT,O
,investigation,NN,O
,of,IN,O
,Khayam,NNP,per
,'s,POS,O
,behavior,NN,O
,after,IN,O
,he,PRP,O
,was,VBD,O
,photographed,VBN,O
,last,JJ,O
,week,NN,O
,at,IN,O
,a,DT,O
,demonstration,NN,O
,dressed,VBN,O
,in,IN,O
,fatigues,NNS,O
,",",",",O
,a,DT,O
,black,JJ,O
,cap,NN,O
,",",",",O
,and,CC,O
,a,DT,O
,bulky,JJ,O
,belt,NN,O
,.,.,O
44,A,DT,O
,Home,NNP,org
,Office,NNP,org
,spokesman,NN,O
,told,VBD,O
,the,DT,O
,Associated,NNP,org
,Press,NNP,org
,that,IN,O
,if,IN,O
,the,DT,O
,behavior,NN,O
,of,IN,O
,a,DT,O
,paroled,JJ,O
,offender,NN,O
,gives,VBZ,O
,cause,NN,O
,for,IN,O
,concern,NN,O
,",",",",O
,he,PRP,O
,can,MD,O
,be,VB,O
,sent,VBN,O
,back,RB,O
,to,TO,O
,prison,NN,O
,.,.,O
45,The,DT,O
,AP,NNP,org
,also,RB,O
,reports,VBZ,O
,Khayam,NNP,per
,has,VBZ,O
,been,VBN,O
,on,IN,O
,parole,NN,O
,from,IN,O
,prison,NN,O
,since,IN,O
,last,JJ,O
,year,NN,O
,after,IN,O
,serving,VBG,O
,half,PDT,O
,his,PRP$,O
,six-year,JJ,O
,sentence,NN,O
,for,IN,O
,drug,NN,O
,dealing,NN,O
,.,.,O
46,Pakistani,JJ,gpe
,officials,NNS,O
,say,VBP,O
,unidentified,JJ,O
,gunmen,NNS,O
,have,VBP,O
,killed,VBN,O
,three,CD,O
,people,NNS,O
,",",",",O
,including,VBG,O
,a,DT,O
,former,JJ,O
,government,NN,O
,minister,NN,O
,",",",",O
,in,IN,O
,a,DT,O
,semi-autonomous,JJ,O
,tribal,JJ,O
,region,NN,O
,bordering,VBG,O
,Afghanistan,NNP,geo
,.,.,O
47,The,DT,O
,officials,NNS,O
,say,VBP,O
,prominent,JJ,O
,tribal,JJ,O
,leader,NN,O
,Malik,NNP,per
,Faridullah,NNP,per
,Khan,NNP,per
,was,VBD,O
,traveling,VBG,O
,in,IN,O
,South,NNP,geo
,Waziristan,NNP,geo
,Sunday,NNP,tim
,when,WRB,O
,his,PRP$,O
,vehicle,NN,O
,was,VBD,O
,ambushed,VBN,O
,in,IN,O
,the,DT,O
,Kani,NNP,geo
,Wam,NNP,geo
,area,NN,O
,.,.,O
48,His,PRP$,O
,driver,NN,O
,and,CC,O
,a,DT,O
,tribal,JJ,O
,elder,NN,O
,were,VBD,O
,also,RB,O
,killed,VBN,O
,.,.,O
49,No,DT,O
,one,NN,O
,has,VBZ,O
,claimed,VBN,O
,responsibility,NN,O
,for,IN,O
,the,DT,O
,killings,NNS,O
,.,.,O
50,The,DT,O
,ambush,NN,O
,came,VBD,O
,a,DT,O
,day,NN,O
,after,IN,O
,a,DT,O
,commander,NN,O
,of,IN,O
,Pakistani,JJ,gpe
,troops,NNS,O
,said,VBD,O
,the,DT,O
,army,NN,O
,has,VBZ,O
,almost,RB,O
,completely,RB,O
,eliminated,VBN,O
,militants,NNS,O
,in,IN,O
,South,NNP,geo
,Waziristan,NNP,geo
,.,.,O
51,The,DT,O
,area,NN,O
,became,VBD,O
,a,DT,O
,refuge,NN,O
,for,IN,O
,many,JJ,O
,al-Qaida,NNP,org
,and,CC,O
,Taleban,NNP,org
,fighters,NNS,O
,after,IN,O
,the,DT,O
,Taleban,NNP,org
,government,NN,O
,was,VBD,O
,ousted,VBN,O
,in,IN,O
,Afghanistan,NNP,geo
,in,IN,O
,2001,CD,tim
,.,.,O
52,A,DT,O
,senior,JJ,O
,Pakistani,JJ,gpe
,military,JJ,O
,official,NN,O
,says,VBZ,O
,Pakistan,NNP,gpe
,wants,VBZ,O
,to,TO,O
,put,VB,O
,what,WP,O
,he,PRP,O
,calls,VBZ,O
,the,DT,O
,"""",``,O
,sordid,JJ,O
,chapter,NN,O
,"""",``,O
,of,IN,O
,proliferation,NN,O
,by,IN,O
,one,CD,O
,of,IN,O
,its,PRP$,O
,top,JJ,O
,scientists,NNS,O
,behind,IN,O
,it,PRP,O
,and,CC,O
,build,VB,O
,civilian,JJ,O
,nuclear,JJ,O
,ties,NNS,O
,with,IN,O
,the,DT,O
,United,NNP,gpe
,States,NNPS,gpe
,.,.,O
53,But,CC,O
,he,PRP,O
,says,VBZ,O
,Pakistan,NNP,gpe
,is,VBZ,O
,not,RB,O
,ready,JJ,O
,to,TO,O
,make,VB,O
,the,DT,O
,nuclear,JJ,O
,scientist,NN,O
,",",",",O
,Abdul,NNP,per
,Qadeer,NNP,per
,Khan,NNP,per
,",",",",O
,available,JJ,O
,for,IN,O
,direct,JJ,O
,questioning,VBG,O
,over,IN,O
,his,PRP$,O
,sale,NN,O
,of,IN,O
,nuclear,JJ,O
,parts,NNS,O
,and,CC,O
,secrets,NNS,O
,to,IN,O
,states,NNS,O
,including,VBG,O
,Iran,NNP,gpe
,",",",",O
,Libya,NNP,gpe
,and,CC,O
,North,NNP,gpe
,Korea,NNP,gpe
,.,.,O
54,He,PRP,O
,said,VBD,O
,there,EX,O
,are,VBP,O
,reasons,NNS,O
,of,IN,O
,national,JJ,O
,sensitivities,NNS,O
,for,IN,O
,not,RB,O
,making,VBG,O
,him,PRP,O
,available,JJ,O
,.,.,O
55,The,DT,O
,Pakistani,JJ,gpe
,official,NN,O
,was,VBD,O
,giving,VBG,O
,a,DT,O
,background,NN,O
,briefing,NN,O
,to,TO,O
,a,DT,O
,small,JJ,O
,group,NN,O
,of,IN,O
,reporters,NNS,O
,in,IN,O
,Washington,NNP,geo
,.,.,O
56,Khan,NNP,per
,admitted,VBD,O
,in,IN,O
,2004,CD,tim
,that,IN,O
,he,PRP,O
,operated,VBD,O
,a,DT,O
,worldwide,JJ,O
,clandestine,NN,O
,network,NN,O
,to,TO,O
,sell,VB,O
,nuclear,JJ,O
,technology,NN,O
,in,IN,O
,the,DT,O
,black,JJ,O
,market,NN,O
,.,.,O
57,He,PRP,O
,was,VBD,O
,placed,VBN,O
,under,IN,O
,house,NN,O
,arrest,NN,O
,in,IN,O
,Islamabad,NNP,geo
,",",",",O
,but,CC,O
,not,RB,O
,jailed,VBN,O
,because,IN,O
,he,PRP,O
,is,VBZ,O
,considered,VBN,O
,the,DT,O
,father,NN,O
,of,IN,O
,Pakistan,NNP,geo
,'s,POS,O
,nuclear,JJ,O
,bomb,NN,O
,.,.,O
58,U.S.,NNP,gpe
,Army,NNP,org
,officials,NNS,O
,said,VBD,O
,Wednesday,NNP,tim
,that,IN,O
,they,PRP,O
,will,MD,O
,not,RB,O
,renew,VB,O
,a,DT,O
,controversial,JJ,O
,multi-billion,JJ,O
,dollar,NN,O
,contract,NN,O
,with,IN,O
,the,DT,O
,Halliburton,NNP,org
,company,NN,O
,to,TO,O
,provide,VB,O
,logistical,JJ,O
,support,NN,O
,to,IN,O
,U.S.,NNP,gpe
,troops,NNS,O
,in,IN,O
,Iraq,NNP,geo
,and,CC,O
,elsewhere,RB,O
,.,.,O
59,Halliburton,NNP,org
,has,VBZ,O
,been,VBN,O
,providing,VBG,O
,a,DT,O
,long,JJ,O
,list,NN,O
,of,IN,O
,services,NNS,O
,",",",",O
,from,IN,O
,meals,NNS,O
,to,TO,O
,communication,NN,O
,",",",",O
,for,IN,O
,the,DT,O
,military,NN,O
,for,IN,O
,several,JJ,O
,years,NNS,O
,.,.,O
60,Critics,NNS,O
,of,IN,O
,Halliburton,NNP,org
,include,VBP,O
,auditors,NNS,O
,and,CC,O
,congressional,JJ,O
,Democrats,NNS,O
,.,.,O
61,They,PRP,O
,say,VBP,O
,the,DT,O
,company,NN,O
,has,VBZ,O
,produced,VBN,O
,some,DT,O
,shoddy,JJ,O
,work,NN,O
,and,CC,O
,charges,VBZ,O
,too,RB,O
,much,JJ,O
,money,NN,O
,.,.,O
62,The,DT,O
,company,NN,O
,strongly,RB,O
,denies,VBZ,O
,the,DT,O
,allegations,NNS,O
,.,.,O
63,When,WRB,O
,the,DT,O
,huge,JJ,O
,contract,NN,O
,is,VBZ,O
,put,VBN,O
,out,RP,O
,for,IN,O
,re-bidding,NN,O
,",",",",O
,several,JJ,O
,companies,NNS,O
,will,MD,O
,get,VB,O
,a,DT,O
,chance,NN,O
,to,TO,O
,compete,VB,O
,for,IN,O
,portions,NNS,O
,of,IN,O
,the,DT,O
,work,NN,O
,.,.,O
64,Representatives,NNS,O
,from,IN,O
,the,DT,O
,Asia,NNP,org
,Pacific,NNP,org
,Economic,NNP,org
,Cooperation,NNP,org
,Business,NNP,org
,Advisory,NNP,org
,Council,NNP,org
,are,VBP,O
,holding,VBG,O
,meetings,NNS,O
,this,DT,O
,week,NN,O
,to,TO,O
,finalize,VB,O
,their,PRP$,O
,annual,JJ,O
,report,NN,O
,for,IN,O
,APEC,NNP,org
,leaders,NNS,O
,who,WP,O
,will,MD,O
,hold,VB,O
,a,DT,O
,summit,NN,O
,on,IN,O
